,sample_id,group,scNiche,annotations_level1,annotations_level2,annotations_level3
BXNFB_C1_angomdnd-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_angpjlnm-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_angpmjbh-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_anhcndfp-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_anhffmgl-1,BXNFB_C1,dim,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_anhjbdoa-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BXNFB_C1_ankanabl-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_ankijcgf-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_anlocchi-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BXNFB_C1_anmchifo-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
